Label,DC12vDC10,DC12vDC20,DC13vDC10,DC13vDC30,DC14vDC10,DC14vDC40,DC15vDC10,DC15vDC50,DC16vDC10,DC16vDC60,DC17vDC10,DC17vDC70,DC18vDC10,DC18vDC80,DC23vDC20,DC23vDC30,DC24vDC20,DC24vDC40,DC25vDC20,DC25vDC50,DC26vDC20,DC26vDC60,DC27vDC20,DC27vDC70,DC28vDC20,DC28vDC80,DC34vDC30,DC34vDC40,DC35vDC30,DC35vDC50,DC36vDC30,DC36vDC60,DC37vDC30,DC37vDC70,DC38vDC30,DC38vDC80,DC45vDC40,DC45vDC50,DC46vDC40,DC46vDC60,DC47vDC40,DC47vDC70,DC48vDC40,DC48vDC80,DC56vDC50,DC56vDC60,DC57vDC50,DC57vDC70,DC58vDC50,DC58vDC80,DC67vDC60,DC67vDC70,DC68vDC60,DC68vDC80,DC78vDC70,DC78vDC80
PTHR13902,0.000686167129423918,0.998696127604156,0.770655328917146,1,0.914714366614097,0.0253948999039216,0.939285452035243,0.631238498536257,0.15826067312808,0.920905699464744,0.998679406703835,0.847517630114212,0.14051897254087,0.503762229721151,0.996895775679135,0.961195796191897,0.957352130617471,0.309845540225458,0.975204946476362,9.88533238978014e-08,1,0.929525535707351,0.974244051151313,1,1,0.981997689432319,1,0.989369636497441,0.151244791885278,0.0701684900757096,1,0.726760830693816,1,0.00372477389584409,1,0.281355069105971,0.993518195108378,0.265700210160029,0.375404074696104,0.443253623633004,0.141465840605061,0.864990576773011,0.985404550662003,0.339754426109009,0.0203621411661863,0.000529307334439564,0.896370478442092,0.0575524445206249,0.0333469447332937,0.305807296622825,0.510343170847546,0.145577881993784,0.781235227208962,0.955892069856691,0.896236551106549,0.581253836056896
PTHR13903,0.156124192815745,0.00365326451536529,0.693426903975438,1,0.926230028469712,0.131861589477061,0.982410358434356,0.00212216412841774,0.996075863930255,0.994462407627378,0.998679406703835,0.969122015609891,0.000598136930840853,0.726121568147197,0.966358349211597,0.942917082478708,0.00228740361368951,0.664733525084007,0.0183267998759938,0.000103209896433578,0.152281521114998,0.886471672834322,0.193128806739912,1,1,0.0400381313221056,0.8339085466248,0.804153067765918,0.535167635527898,0.11585324219403,0.825932931918567,0.00687604080643836,0.806259254549398,0.012496717015785,1,0.633475512641203,0.246736263315163,0.842841643648427,0.749340519108203,0.189591063317227,0.72049876009941,0.00016185243035884,0.855285964505233,0.365707524949868,0.0230256733804752,0.000840230286631295,0.281716394399402,0.690582184813778,0.328880934452838,0.78322951356335,3.34438875106058e-07,0.806784045693955,0.0042975448782028,0.491765593480549,0.933765499911981,0.00173755766712504
PTHR12590,0.211252774980178,0.990207257709275,0.00422276476624655,1,0.502018180415432,0.460908923498676,0.899023470192057,0.140024387219822,0.865476206399865,1,0.998679406703835,0.969122015609891,0.0568639432042721,5.17844509034394e-06,0.996895775679135,1,0.957352130617471,0.188071290193462,0.932250692940542,0.114571372301279,1,0.986304026555725,0.974244051151313,1,1,0.0022847838821173,1,1,0.650150797558019,0.091889276898883,1,0.727072502863822,1,0.00583234475982233,1,0.000422630653123201,0.0170115251701445,1.80136494974999e-10,0.303822116273545,0.834618937676034,0.285839614391183,0.864990576773011,0.808290557558758,0.762175403358045,0.311379564126104,0.182042819083701,0.0251400002049886,0.372851634225871,2.08764223593218e-24,0.430655064714662,0.785804493615941,0.824960434999727,0.0652367512116674,0.724346894313099,0.987619650771307,0.799183257620259
PTHR22753,0.58780556681559,0.357905853938552,0.00195981208793393,1,0.533512000352214,0.172070745428123,0.98919657412914,0.974505258938214,0.543590339385969,0.565411195038666,0.998679406703835,0.781277194866921,0.138732604872329,0.171632975359785,0.41043366555525,0.134863260739641,0.662985544940808,0.935420632702957,0.939126826447358,0.0338849095872669,1,0.000368975053208698,0.974244051151313,1,1,0.554668067351752,0.798933165065937,0.674272316286234,0.102023598339564,0.909909824643148,0.973882109759865,0.908089543355124,0.943288071334818,0.000461440754019122,0.300273427181248,0.329196650850052,0.00682218894364946,0.00242427713990852,0.943763675684082,0.0568689213295117,0.722201867590207,0.417190540083884,0.855555715879236,0.36094256610617,0.623820145013127,0.00616669467092299,0.766123083575347,3.80957576550147e-31,8.72336727948884e-41,0.304187890763173,2.78611836907625e-12,0.733406967892514,1.56296601439364e-09,1.34407886522213e-05,0.997371516146592,0.893268143526561
PTHR10994,0.0820897203116587,0.997846409396943,0.885753513304156,1,0.584857454101972,0.0488961483617669,0.98919657412914,0.896534653016154,0.674721504849076,0.295001569720191,0.998679406703835,0.809249144973431,0.253940098828478,0.547651943308574,0.996895775679135,0.942917082478708,0.897636634393405,0.0314910609380854,0.867247553854554,0.377539662485012,1,0.986304026555725,0.974244051151313,1,1,0.583137817163045,1,0.809628100468585,0.616766778931002,2.6106872535608e-14,0.886945468130176,0.01410502848408,1,0.0796080936923861,1,0.449046821369268,1.87207866449254e-11,0.404768724962313,0.199010890382756,0.999091867811131,0.401340552693457,0.81101317423263,0.855285964505233,0.608232953580432,0.00225465659231676,2.97665124128807e-11,0.484468437536774,0.0589832789345025,0.0192332602262436,0.860387226364328,0.029465569318621,0.527177557498684,0.43332617527513,0.442818394420796,0.919890350807677,0.590408133094464
PTHR31173,0.856182024115391,0.995917180347111,0.0838023169647637,1,0.495863821493107,0.606399002353269,0.753344865485349,0.931461557066277,0.91972574695581,1,0.998679406703835,0.91520430526689,0.133097864879102,0.3242946871315,0.996895775679135,0.927656625085343,0.957352130617471,0.0157212069490749,0.932250692940542,0.24667720515371,1,0.986304026555725,0.982269445120979,0.553658238701767,1,0.985223135596053,1,1,0.658207800922095,0.360423191948971,1,0.00597126487131703,1,0.000618755616494963,1,0.946099807527374,0.0779370391120789,0.508337389695153,0.712252134986629,0.999091867811131,0.447473571556268,0.989297505690045,0.919379817651207,0.192844706772256,0.297104366026871,0.814851682345706,0.928779906029637,0.903370064614578,0.000655871848759825,1,0.0242206614910715,0.00128072837521977,0.414084538647176,0.806329714289614,0.127304551612793,0.450126721804397
PTHR12066,0.869438335170015,0.988807274829079,0.152692324588318,1,0.215724730979165,0.485844149293508,0.98919657412914,0.975485335043669,0.813974384292329,0.67258666685119,0.998679406703835,0.0077660416438326,4.22965216349481e-05,0.986164568993049,0.996895775679135,0.912464764669317,0.89970551744249,1,0.953634631966337,0.39039709992078,1,0.986304026555725,0.974244051151313,1,1,0.855560030433244,1,1,0.322388433447305,0.129489382791868,1,0.512815929068868,1,0.399007989795999,1,0.909674041204865,0.5469027050742,0.212892796344348,0.994479013704985,0.147383410358476,0.704630521357449,0.155020742355355,0.963053974688914,0.32178642481167,0.0195666357271542,0.140576884354794,0.999528937098689,0.0162469956708335,0.339763495754162,1,5.53723405938303e-05,1.98230873595092e-05,0.340073318041306,0.836823859083052,0.0507553291520277,0.648996400743844
PTHR11831,0.23533472452576,0.631395317439178,0.19622166569631,0.0515430462640806,0.367471587870343,0.000317846665650787,0.98919657412914,0.966874367075243,0.856608290766027,0.952474531836156,0.998679406703835,0.00311578015846134,5.67950177109261e-09,3.12780178149873e-22,0.996895775679135,6.81365140826181e-05,0.943510426376468,0.026200103539758,0.867247553854554,0.200420183147418,1,0.886471672834322,0.974244051151313,0.0226767859018031,1,3.63601437702346e-05,0.0169059813870103,0.748909599873335,0.000591282489440959,0.00150718158292532,1,0.789727567839778,1,3.05588443089648e-12,1,0.714966601964433,2.38153862922677e-20,0.011265281196185,0.882909422818747,0.00401455425205112,0.0809768672780464,0.645772937756934,0.855285964505233,0.469878856448506,0.31520760289374,7.09571344111994e-102,0.792700350681511,0.696465710820378,0.826540884535088,9.9189742861046e-17,0.183741390585629,0.0402242600263851,0.465332296416484,0.724346894313099,0.812192510256824,1
PTHR12064,3.61078379228221e-10,0.92240284715839,0.0178613039728172,1,4.64130368151225e-07,0.323962098324327,0.959307701859056,0.830847676047765,2.664548235674e-06,0.910437515972897,0.998679406703835,0.875754261260815,1.8992243415685e-36,0.638648312935143,0.996895775679135,0.918589544909214,0.503192637509426,0.186574300584072,0.828681968827121,0.126124825399167,1,0.986304026555725,0.974244051151313,1,1,0.371917564419335,0.995141627261161,1,0.954463986463459,1.23548950981869e-06,1,0.0288191365061717,1,7.196716549854e-06,1,0.873967282082119,3.25595036433783e-07,0.302158945680829,0.999620311842922,0.714061669097385,0.556491952590099,0.907421368465929,0.855285964505233,0.133415072704483,9.04887873483656e-06,7.37080615052951e-05,0.829156789518773,1,0.327166019066509,0.766018807518514,0.524050747753408,0.284348342045993,0.922448157560977,0.294547240361243,0.997371516146592,0.942905074571206
PTHR21181,0.913130217373348,1,0.915763634617072,1,0.406887763384044,0.00624328362717567,0.939285452035243,0.140024387219822,0.889825320181364,0.233061130190209,0.998679406703835,0.975464318788514,0.0846998166081821,0.40928808580067,0.996895775679135,0.763494771412724,0.914204898321428,0.0948890676694668,0.891016205187664,0.818160621842145,1,0.986304026555725,0.974244051151313,1,1,0.983167397280134,1,1,0.346845870507613,0.327179514519507,0.997340923150882,0.283980674328861,1,0.000575322895122904,1,0.228629909927381,6.59506086298473e-06,0.110735605903707,0.271422394748056,0.493848877891112,0.951183574099982,0.965747808456998,0.855285964505233,0.97615781276165,0.000177187604344269,0.0367389574014662,0.403171166770217,0.500855968136313,0.770499857898729,0.0110867574865329,0.0209031453848635,0.950720462829142,0.144358074640811,0.355261099786416,0.866013513173881,0.20931135736905
