Label,GeneFamilyCounts/DC10_R1T6_1,GeneFamilyCounts/DC10_R2T6_1,GeneFamilyCounts/DC10_R3T6_1,GeneFamilyCounts/DC12_R1T6_1,GeneFamilyCounts/DC12_R1T6_2,GeneFamilyCounts/DC12_R2T6_1,GeneFamilyCounts/DC12_R2T6_2,GeneFamilyCounts/DC12_R3T6_1,GeneFamilyCounts/DC12_R3T6_2,GeneFamilyCounts/DC13_R1T6_1,GeneFamilyCounts/DC13_R1T6_3,GeneFamilyCounts/DC13_R2T6_1,GeneFamilyCounts/DC13_R2T6_3,GeneFamilyCounts/DC13_R3T6_1,GeneFamilyCounts/DC13_R3T6_3,GeneFamilyCounts/DC14_R1T6_1,GeneFamilyCounts/DC14_R1T6_4,GeneFamilyCounts/DC14_R2T6_1,GeneFamilyCounts/DC14_R2T6_4,GeneFamilyCounts/DC14_R3T6_1,GeneFamilyCounts/DC14_R3T6_4,GeneFamilyCounts/DC15_R1T6_1,GeneFamilyCounts/DC15_R1T6_5,GeneFamilyCounts/DC15_R2T6_1,GeneFamilyCounts/DC15_R2T6_5,GeneFamilyCounts/DC15_R3T6_1,GeneFamilyCounts/DC15_R3T6_5,GeneFamilyCounts/DC16_R1T6_1,GeneFamilyCounts/DC16_R1T6_6,GeneFamilyCounts/DC16_R2T6_1,GeneFamilyCounts/DC16_R2T6_6,GeneFamilyCounts/DC16_R3T6_1,GeneFamilyCounts/DC16_R3T6_6,GeneFamilyCounts/DC17_R1T6_1,GeneFamilyCounts/DC17_R1T6_7,GeneFamilyCounts/DC17_R2T6_1,GeneFamilyCounts/DC17_R2T6_7,GeneFamilyCounts/DC17_R3T6_1,GeneFamilyCounts/DC17_R3T6_7,GeneFamilyCounts/DC18_R1T6_1,GeneFamilyCounts/DC18_R1T6_8,GeneFamilyCounts/DC18_R2T6_1,GeneFamilyCounts/DC18_R2T6_8,GeneFamilyCounts/DC18_R3T6_1,GeneFamilyCounts/DC18_R3T6_8,GeneFamilyCounts/DC20_R1T6_2,GeneFamilyCounts/DC20_R2T6_2,GeneFamilyCounts/DC20_R3T6_2,GeneFamilyCounts/DC23_R1T6_2,GeneFamilyCounts/DC23_R1T6_3,GeneFamilyCounts/DC23_R2T6_2,GeneFamilyCounts/DC23_R2T6_3,GeneFamilyCounts/DC23_R3T6_2,GeneFamilyCounts/DC23_R3T6_3,GeneFamilyCounts/DC24_R1T6_2,GeneFamilyCounts/DC24_R1T6_4,GeneFamilyCounts/DC24_R2T6_2,GeneFamilyCounts/DC24_R2T6_4,GeneFamilyCounts/DC24_R3T6_2,GeneFamilyCounts/DC24_R3T6_4,GeneFamilyCounts/DC25_R1T6_2,GeneFamilyCounts/DC25_R1T6_5,GeneFamilyCounts/DC25_R2T6_2,GeneFamilyCounts/DC25_R2T6_5,GeneFamilyCounts/DC25_R3T6_2,GeneFamilyCounts/DC25_R3T6_5,GeneFamilyCounts/DC26_R1T6_2,GeneFamilyCounts/DC26_R1T6_6,GeneFamilyCounts/DC26_R2T6_2,GeneFamilyCounts/DC26_R2T6_6,GeneFamilyCounts/DC27_R1T6_2,GeneFamilyCounts/DC27_R1T6_7,GeneFamilyCounts/DC27_R2T6_2,GeneFamilyCounts/DC27_R2T6_7,GeneFamilyCounts/DC27_R3T6_2,GeneFamilyCounts/DC27_R3T6_7,GeneFamilyCounts/DC28_R1T6_2,GeneFamilyCounts/DC28_R1T6_8,GeneFamilyCounts/DC28_R2T6_2,GeneFamilyCounts/DC28_R2T6_8,GeneFamilyCounts/DC30_R1T6_3,GeneFamilyCounts/DC30_R2T6_3,GeneFamilyCounts/DC30_R3T6_3,GeneFamilyCounts/DC34_R1T6_3,GeneFamilyCounts/DC34_R1T6_4,GeneFamilyCounts/DC34_R2T6_3,GeneFamilyCounts/DC34_R2T6_4,GeneFamilyCounts/DC34_R3T6_3,GeneFamilyCounts/DC34_R3T6_4,GeneFamilyCounts/DC35_R1T6_3,GeneFamilyCounts/DC35_R1T6_5,GeneFamilyCounts/DC35_R2T6_3,GeneFamilyCounts/DC35_R2T6_5,GeneFamilyCounts/DC35_R3T6_3,GeneFamilyCounts/DC35_R3T6_5,GeneFamilyCounts/DC36_R1T6_3,GeneFamilyCounts/DC36_R1T6_6,GeneFamilyCounts/DC36_R2T6_3,GeneFamilyCounts/DC36_R2T6_6,GeneFamilyCounts/DC36_R3T6_3,GeneFamilyCounts/DC36_R3T6_6,GeneFamilyCounts/DC37_R1T6_3,GeneFamilyCounts/DC37_R1T6_7,GeneFamilyCounts/DC37_R2T6_3,GeneFamilyCounts/DC37_R2T6_7,GeneFamilyCounts/DC37_R3T6_3,GeneFamilyCounts/DC37_R3T6_7,GeneFamilyCounts/DC38_R1T6_3,GeneFamilyCounts/DC38_R1T6_8,GeneFamilyCounts/DC38_R2T6_3,GeneFamilyCounts/DC38_R2T6_8,GeneFamilyCounts/DC38_R3T6_3,GeneFamilyCounts/DC38_R3T6_8,GeneFamilyCounts/DC40_R1T6_4,GeneFamilyCounts/DC40_R2T6_4,GeneFamilyCounts/DC40_R3T6_4,GeneFamilyCounts/DC45_R1T6_4,GeneFamilyCounts/DC45_R1T6_5,GeneFamilyCounts/DC45_R2T6_4,GeneFamilyCounts/DC45_R2T6_5,GeneFamilyCounts/DC45_R3T6_4,GeneFamilyCounts/DC45_R3T6_5,GeneFamilyCounts/DC46_R1T6_4,GeneFamilyCounts/DC46_R1T6_6,GeneFamilyCounts/DC46_R2T6_4,GeneFamilyCounts/DC46_R2T6_6,GeneFamilyCounts/DC46_R3T6_4,GeneFamilyCounts/DC46_R3T6_6,GeneFamilyCounts/DC47_R1T6_4,GeneFamilyCounts/DC47_R1T6_7,GeneFamilyCounts/DC47_R2T6_4,GeneFamilyCounts/DC47_R2T6_7,GeneFamilyCounts/DC47_R3T6_4,GeneFamilyCounts/DC47_R3T6_7,GeneFamilyCounts/DC48_R1T6_4,GeneFamilyCounts/DC48_R1T6_8,GeneFamilyCounts/DC48_R2T6_4,GeneFamilyCounts/DC48_R2T6_8,GeneFamilyCounts/DC48_R3T6_4,GeneFamilyCounts/DC48_R3T6_8,GeneFamilyCounts/DC50_R1TWB_5,GeneFamilyCounts/DC50_R2TWB_5,GeneFamilyCounts/DC50_R3TWB_5,GeneFamilyCounts/DC56_R1T6_5,GeneFamilyCounts/DC56_R1T6_6,GeneFamilyCounts/DC56_R2T6_5,GeneFamilyCounts/DC56_R2T6_6,GeneFamilyCounts/DC56_R3T6_5,GeneFamilyCounts/DC56_R3T6_6,GeneFamilyCounts/DC57_R1TWB_5,GeneFamilyCounts/DC57_R1TWB_7,GeneFamilyCounts/DC57_R2TWB_5,GeneFamilyCounts/DC57_R2TWB_7,GeneFamilyCounts/DC57_R3TWB_5,GeneFamilyCounts/DC57_R3TWB_7,GeneFamilyCounts/DC58_R1T6_5,GeneFamilyCounts/DC58_R1T6_8,GeneFamilyCounts/DC58_R2T6_5,GeneFamilyCounts/DC58_R2T6_8,GeneFamilyCounts/DC58_R3T6_5,GeneFamilyCounts/DC58_R3T6_8,GeneFamilyCounts/DC60_R1T6_6,GeneFamilyCounts/DC60_R2T6_6,GeneFamilyCounts/DC60_R3T6_6,GeneFamilyCounts/DC67_R1T6_6,GeneFamilyCounts/DC67_R1T6_7,GeneFamilyCounts/DC67_R2T6_6,GeneFamilyCounts/DC67_R2T6_7,GeneFamilyCounts/DC67_R3T6_6,GeneFamilyCounts/DC67_R3T6_7,GeneFamilyCounts/DC68_R1T6_6,GeneFamilyCounts/DC68_R1T6_8,GeneFamilyCounts/DC68_R2T6_6,GeneFamilyCounts/DC68_R2T6_8,GeneFamilyCounts/DC68_R3T6_6,GeneFamilyCounts/DC68_R3T6_8,GeneFamilyCounts/DC70_R1TWB_7,GeneFamilyCounts/DC70_R2T6_7,GeneFamilyCounts/DC70_R3TWB_7,GeneFamilyCounts/DC78_R1T6_7,GeneFamilyCounts/DC78_R1T6_8,GeneFamilyCounts/DC78_R2T6_7,GeneFamilyCounts/DC78_R2T6_8,GeneFamilyCounts/DC78_R3T6_7,GeneFamilyCounts/DC78_R3T6_8,GeneFamilyCounts/DN82_R3TX_8,GeneFamilyCounts/DN86_R1TX_8
PTHR18952,51.79,59.67,64.23,68.49,4.13,55.63,6.78,53.13,2.74,111.29,151.75,68.64,77.0,68.17,159.76,68.41,11.21,71.56,1.62,59.23,0.17,76.47,43.22,66.78,40.71,32.42,45.24,102.75,1.93,73.59,3.12,91.98,3.04,48.22,30.26,42.89,2.57,38.43,2.1,41.26,0.28,24.79,0.0,38.73,0.53,9.04,11.24,0.72,4.99,39.75,10.61,82.95,3.28,15.63,5.55,0.42,8.91,0.16,15.43,9.54,5.1,76.93,9.83,71.38,5.05,82.61,2.38,3.57,10.46,3.69,5.26,3.1,4.12,0.44,0.0,40.64,7.26,5.14,4.89,7.93,198.01,251.66,267.96,122.83,81.81,195.23,2.24,90.9,0.0,10.48,70.85,3.91,62.66,6.49,67.96,82.34,0.0,84.92,0.0,80.99,0.0,176.11,15.63,187.22,0.0,215.92,0.0,183.4,1.82,267.33,0.0,171.87,0.65,235.44,198.31,138.98,0.0,61.87,0.0,69.58,0.0,56.7,256.07,0.0,168.69,1.8,48.6,2.3,90.95,23.31,61.79,20.85,114.44,11.77,17.78,5.39,0.0,10.33,0.0,10.38,121.16,117.0,112.53,63.76,0.0,66.24,0.0,57.7,0.0,103.48,0.0,97.69,0.46,98.85,0.53,56.28,1.46,69.82,1.3,64.45,0.0,2.5,0.99,1.68,19.1,451.53,19.77,195.1,21.0,291.82,6.37,2.8,9.96,4.66,5.68,4.14,12.84,6.07,10.2,175.67,5.16,9.42,5.49,22.03,2.63,10.16,8.35
PTHR13082,34.63,25.97,28.61,20.23,47.79,18.49,54.3,22.94,22.17,23.98,32.62,29.21,19.57,33.46,40.48,18.05,1.87,23.59,1.06,14.71,0.0,21.91,18.85,20.63,22.85,37.29,32.59,18.08,8.1,21.58,5.57,25.57,10.53,17.96,2.32,25.22,9.89,26.91,9.89,11.31,1.45,14.26,0.32,12.48,1.84,57.24,46.59,3.43,50.08,16.33,48.9,35.64,51.83,13.31,55.9,0.0,44.94,0.0,53.67,1.12,16.07,33.33,13.48,29.87,15.59,35.77,44.23,12.38,29.33,10.27,43.42,9.98,44.38,3.87,0.0,26.53,49.7,25.48,40.49,18.46,75.06,54.96,49.04,59.19,4.11,48.27,0.0,37.2,0.0,3.11,31.8,3.42,33.86,1.65,34.71,24.96,0.0,25.19,0.0,15.34,0.0,45.54,0.0,42.04,2.03,46.06,0.0,61.39,12.3,46.5,17.73,40.37,1.34,19.87,16.12,8.05,0.0,32.48,0.0,43.96,0.0,33.62,19.99,0.0,13.99,6.61,8.02,6.33,1.58,22.52,7.07,32.66,8.66,31.13,1.81,21.43,0.0,25.73,0.0,21.97,39.07,38.77,42.86,32.75,0.0,35.57,0.0,38.23,0.0,41.91,1.25,35.47,7.28,35.91,0.86,36.61,5.51,41.42,5.72,34.88,2.11,8.64,12.65,8.37,13.15,25.28,2.32,29.96,12.34,25.37,11.37,22.95,7.18,17.88,5.42,26.52,25.61,24.58,28.63,19.5,22.2,24.25,30.66,31.98,22.12,29.91,25.75
PTHR10629,15.6,18.83,17.85,19.01,238.47,17.74,261.42,20.93,272.6,17.55,25.76,24.75,12.25,14.01,33.12,15.9,52.46,16.27,51.08,9.1,5.1,11.77,76.26,11.64,81.89,18.63,81.07,17.54,85.15,18.68,43.45,14.34,104.53,18.84,15.29,15.05,14.9,15.69,14.69,8.65,0.0,6.53,0.24,10.7,0.41,200.14,191.84,8.28,137.92,8.4,159.86,17.72,225.65,2.97,205.9,0.79,192.61,0.5,207.59,5.54,64.28,77.1,46.74,72.3,72.6,97.01,88.28,76.93,94.74,59.7,208.78,6.66,176.97,3.0,0.0,59.43,151.3,3.62,164.52,8.04,73.03,41.22,34.87,24.9,8.8,47.57,3.04,28.72,0.95,0.25,80.29,0.8,78.38,0.0,82.64,19.43,0.0,13.5,0.0,13.03,0.0,51.04,0.0,49.52,0.0,42.93,0.0,51.07,9.14,52.41,14.34,29.14,2.3,50.23,34.54,22.34,2.53,115.4,0.0,103.83,0.26,99.56,45.7,29.32,24.14,51.2,27.6,104.53,11.21,38.22,13.6,28.4,20.84,30.3,5.93,3.3,0.0,7.38,0.0,6.57,117.61,112.43,127.03,95.52,0.45,106.82,0.0,91.68,0.27,127.14,0.94,95.08,7.25,92.94,2.75,66.29,1.13,75.6,1.0,69.14,0.0,128.91,118.15,117.82,110.65,18.84,114.26,21.31,104.7,13.34,72.31,10.09,73.9,9.83,79.57,11.09,53.76,45.45,54.07,35.01,9.35,39.99,9.63,17.84,5.8,3.93,8.28
PTHR13124,61.38,53.16,50.28,28.8,25.66,37.14,26.02,51.56,9.25,34.48,11.91,37.19,7.18,37.6,14.51,40.77,1.39,43.5,2.07,15.91,0.0,53.38,6.5,61.85,12.48,123.04,10.33,29.27,5.28,42.87,4.56,32.83,7.16,44.31,2.8,38.19,6.13,50.5,4.71,24.44,0.0,22.31,0.0,21.53,0.0,31.13,32.71,0.51,27.02,6.92,26.99,9.24,25.51,3.14,33.07,0.0,34.8,0.0,26.11,1.51,6.25,16.22,3.34,15.62,5.57,20.38,47.95,9.66,13.51,9.38,22.62,6.84,31.9,2.93,0.5,22.38,25.12,1.73,26.37,3.95,32.66,18.49,18.36,11.56,9.4,13.13,1.06,11.97,0.0,2.23,16.08,0.38,20.51,1.11,17.26,8.8,0.0,9.04,0.0,8.4,0.0,15.84,0.0,18.32,0.0,15.59,0.0,14.67,1.12,18.0,1.7,8.06,0.41,26.07,28.46,20.71,0.0,18.03,0.17,22.57,0.0,23.03,26.03,10.34,19.21,17.15,12.74,9.17,8.05,17.59,4.74,16.75,15.74,15.79,2.23,4.18,0.0,3.43,0.0,4.15,18.23,17.37,18.36,25.77,0.0,24.4,0.0,25.71,0.0,19.64,0.0,13.68,1.69,15.3,1.63,14.8,0.0,19.25,0.0,14.29,0.0,6.1,10.05,7.02,15.74,23.84,14.91,15.6,15.08,29.0,6.92,5.36,7.07,2.42,10.83,3.22,28.58,18.93,27.31,26.88,2.65,37.2,2.57,26.69,2.19,4.05,5.36
PTHR31503,90.67,87.72,91.19,93.3,86.43,70.51,72.21,81.38,35.29,83.39,51.78,90.05,33.97,77.43,47.28,70.48,6.34,72.85,1.21,117.81,0.0,50.43,69.87,49.05,76.08,92.35,146.43,81.64,71.44,120.56,82.9,85.1,131.66,124.82,18.5,69.32,22.76,69.04,25.29,136.55,5.75,145.6,1.04,140.09,12.0,149.96,123.56,1.01,88.67,25.54,135.38,41.03,85.42,19.95,115.27,0.23,180.88,0.38,89.22,5.79,32.9,183.25,28.38,185.9,34.19,196.81,126.33,97.67,46.33,99.96,85.68,21.74,162.21,5.99,0.0,82.69,113.4,135.8,136.93,82.9,94.61,96.29,111.51,94.96,26.37,79.24,0.61,39.33,0.0,4.28,146.98,3.97,137.01,3.86,156.13,54.33,1.41,36.73,0.0,58.73,0.0,110.53,8.46,95.91,7.16,96.47,3.87,30.01,75.08,71.91,89.24,29.08,9.96,74.18,54.24,35.24,0.0,155.0,0.0,109.08,0.0,126.31,112.14,45.22,66.71,117.58,34.14,111.65,23.89,52.73,24.51,54.15,48.1,43.15,5.93,118.52,0.0,128.35,0.0,113.65,124.89,145.07,158.99,140.28,0.48,131.9,0.18,148.38,1.58,136.53,2.44,106.62,11.08,114.81,2.62,129.39,42.03,113.83,43.34,141.66,36.11,127.65,108.97,103.35,135.51,129.09,134.87,135.18,126.35,129.64,136.15,144.85,118.39,104.56,147.91,126.47,98.36,47.57,104.23,127.77,102.76,125.4,52.49,129.24,72.77,96.28,78.54
PTHR10996,324.3,257.22,254.13,122.7,144.77,168.73,121.96,216.86,60.37,143.2,161.6,191.92,80.32,169.36,178.51,216.05,13.75,187.64,2.36,66.64,0.0,295.99,108.98,251.41,116.88,452.7,211.78,136.42,350.98,229.1,204.44,89.1,824.97,178.83,32.15,232.55,43.44,307.39,40.04,83.83,4.95,65.67,2.0,67.51,11.6,131.29,120.86,4.11,147.36,54.41,174.46,146.92,150.56,35.7,186.17,0.79,132.95,0.15,175.36,18.54,66.21,161.75,53.47,160.01,79.11,189.66,343.7,598.45,87.97,502.45,146.69,62.13,162.43,14.48,0.0,222.17,150.87,85.96,150.64,98.71,369.07,203.16,204.17,88.58,62.45,108.91,1.37,112.18,0.0,20.98,218.7,7.2,205.9,9.45,220.34,76.37,4.94,73.45,1.02,82.38,5.94,196.3,2.42,202.07,11.3,172.48,5.54,179.48,65.62,166.77,68.61,102.36,13.0,111.6,107.8,60.63,0.0,231.75,0.2,227.46,0.0,206.07,162.66,204.17,116.63,781.75,86.07,608.02,28.87,190.57,45.08,157.42,55.63,160.13,28.33,76.47,0.0,97.94,0.0,77.66,182.61,186.28,181.82,235.14,8.33,249.61,7.5,245.95,7.99,200.7,18.57,180.35,69.27,188.13,26.41,205.86,22.8,228.85,22.24,161.61,12.84,640.7,665.67,651.12,452.1,174.35,503.19,144.92,437.87,165.48,505.67,114.19,478.18,98.53,525.58,116.98,230.67,133.07,226.42,193.34,76.92,177.05,55.31,152.89,73.85,144.65,133.41
PTHR10997,122.18,117.31,117.05,108.19,114.98,124.15,148.39,141.73,67.75,96.98,111.66,102.73,85.19,89.86,140.87,142.73,7.31,138.58,3.68,63.64,0.0,93.83,133.61,100.07,129.34,88.2,126.24,105.35,65.03,114.34,41.78,112.93,80.82,126.77,33.91,78.44,47.69,95.34,57.68,69.75,2.35,56.09,1.11,73.05,4.06,140.47,101.15,16.96,134.71,76.8,131.36,114.37,188.28,55.17,113.86,0.14,99.53,0.0,153.65,7.39,45.79,158.19,44.58,166.3,53.19,190.21,107.46,77.16,88.65,84.92,114.03,59.43,108.95,22.93,0.0,116.65,147.74,66.94,107.29,89.32,217.92,187.54,171.22,136.95,31.99,180.3,0.0,142.9,0.0,28.06,168.73,10.82,161.29,7.15,158.37,91.62,0.0,129.32,0.0,79.35,0.0,212.43,0.0,200.14,0.46,210.25,0.84,146.45,38.09,179.75,62.73,97.46,5.89,65.55,38.33,23.06,0.0,214.45,0.0,210.37,0.0,175.2,90.89,40.45,43.43,67.35,57.54,93.36,32.69,180.25,35.86,149.62,40.96,167.24,12.85,70.8,0.0,99.65,0.0,85.51,191.03,185.69,196.68,151.6,0.0,175.41,0.2,161.94,0.11,209.87,9.43,164.56,32.34,158.78,13.01,137.68,18.84,180.68,13.0,136.84,9.94,76.95,95.63,76.3,103.67,145.5,128.61,135.12,108.94,157.76,85.47,76.61,88.6,62.22,78.21,62.95,179.31,134.89,140.84,161.18,40.48,174.93,37.33,163.78,33.43,91.09,85.29
PTHR13120,59.39,63.14,57.23,36.36,14.91,26.03,14.57,31.96,6.91,41.48,8.24,47.14,18.88,37.72,11.47,46.91,2.39,42.53,1.55,19.32,0.0,43.27,16.01,51.37,21.9,41.02,23.06,46.2,21.25,42.92,16.5,43.33,17.89,34.72,7.29,47.77,9.93,54.21,23.04,17.48,1.05,22.69,0.5,22.01,3.15,22.86,11.65,1.61,16.89,4.06,15.27,5.83,21.31,9.61,17.48,0.0,19.69,0.0,20.52,2.56,9.41,25.66,14.0,23.91,12.72,27.56,337.52,20.29,29.05,18.18,13.53,21.5,12.24,4.61,0.0,55.94,18.27,30.14,9.76,14.36,37.25,18.56,18.27,65.48,11.03,55.65,0.0,93.17,0.0,1.74,34.57,0.48,31.7,0.77,34.8,23.64,0.0,27.98,7.8,12.12,0.0,22.7,4.23,28.12,0.0,26.12,8.39,30.4,19.68,15.83,24.35,19.43,3.47,24.1,27.12,21.36,0.17,33.47,0.13,28.77,0.0,32.48,24.35,10.69,22.53,27.86,13.48,22.68,2.29,60.92,7.39,69.03,11.16,80.52,3.79,27.19,0.0,31.25,0.0,31.44,37.11,38.12,32.97,40.29,3.7,35.69,4.06,35.1,3.76,33.92,4.14,26.65,14.8,31.28,3.55,19.71,6.24,24.59,4.12,23.07,3.28,30.21,25.67,25.27,31.57,48.21,30.86,49.65,27.75,52.11,26.99,22.23,22.4,16.13,30.93,23.57,58.94,47.55,57.19,65.47,19.32,67.05,16.87,73.65,15.52,36.82,35.34
PTHR12363,46.98,51.55,55.64,40.75,54.55,36.26,46.96,45.29,17.74,38.83,60.12,40.96,33.68,32.32,61.28,38.13,1.02,37.61,0.0,22.1,0.0,36.62,31.76,41.75,39.6,41.23,41.04,36.65,53.66,46.21,23.32,35.5,72.17,42.06,6.8,30.48,15.58,35.38,18.05,20.55,2.05,15.94,0.36,20.65,4.58,59.06,53.53,3.38,51.5,43.6,40.86,50.88,54.92,22.59,50.5,0.0,53.01,0.0,60.17,3.03,18.66,35.26,14.48,34.96,23.6,45.12,56.05,50.51,30.48,49.19,40.95,10.71,50.55,2.92,0.0,47.77,51.35,63.63,50.83,64.7,54.65,92.85,93.97,28.82,3.63,73.86,0.0,36.92,0.0,10.81,49.3,3.84,41.21,6.22,39.78,33.91,0.0,31.9,0.0,43.29,0.0,91.37,0.0,85.92,0.0,89.84,0.0,69.34,25.07,90.42,41.74,44.77,3.81,26.01,9.7,6.91,0.0,50.59,0.0,60.16,0.0,57.23,20.94,11.72,13.54,63.2,14.62,66.0,12.49,59.0,11.68,43.39,11.16,44.56,2.39,62.56,0.0,73.99,0.0,68.61,51.11,51.5,61.59,44.97,0.73,49.72,0.0,54.76,0.0,50.12,8.32,39.98,21.17,39.81,4.98,63.97,11.7,56.96,12.69,48.5,3.88,70.58,73.63,64.42,74.86,34.84,80.84,38.63,80.39,34.68,62.74,50.82,68.07,41.43,66.12,44.18,57.64,71.73,41.66,44.46,28.63,48.41,20.76,40.32,29.79,54.54,45.81
PTHR10992,690.69,697.41,697.72,831.94,574.01,632.25,493.66,874.52,220.55,857.98,1171.04,778.26,660.02,822.79,1413.21,737.09,15.79,788.04,10.33,895.34,1.1,465.85,218.81,477.32,240.64,376.71,217.3,805.86,485.59,784.29,276.43,693.24,658.54,859.22,166.83,567.68,529.68,568.24,589.18,896.89,42.96,918.47,19.34,880.36,91.86,659.05,530.37,66.85,616.47,947.53,662.93,1143.41,686.93,471.15,539.01,0.44,446.83,0.36,572.3,23.4,238.23,341.34,261.82,335.28,290.59,360.9,943.91,576.99,324.56,593.94,475.58,404.36,534.56,209.01,57.6,1087.47,600.7,911.73,504.83,496.91,1760.3,1846.85,1848.33,1262.15,98.22,1701.5,1.8,1318.72,1.45,155.3,450.9,75.92,389.07,77.62,457.56,696.4,1.26,883.04,2.77,725.91,0.0,1510.38,6.77,1447.41,12.4,1452.53,15.25,1991.19,528.49,1706.11,554.64,1346.56,173.86,319.05,244.06,152.33,0.0,385.56,0.4,483.0,0.0,440.61,340.5,255.77,243.7,584.14,151.29,686.04,84.89,1145.59,114.81,1143.36,172.06,1225.71,47.07,1137.93,0.0,735.05,0.0,809.47,445.66,453.24,468.75,481.01,1.26,436.04,2.63,457.98,3.06,447.51,342.49,419.61,934.21,408.14,316.01,581.7,155.84,512.88,153.88,518.73,89.51,761.54,598.98,663.1,829.49,926.5,861.97,1004.4,834.35,1005.46,729.01,781.15,658.43,529.03,708.05,904.86,1313.39,1167.32,1402.26,1053.61,611.05,1220.15,323.17,1104.42,576.27,605.84,625.82
PTHR10993,51.21,46.98,49.72,32.86,7.8,37.62,8.43,37.99,5.2,28.78,20.02,43.9,11.22,34.39,23.3,55.0,2.7,49.96,1.32,27.65,0.0,36.5,1.63,46.38,2.32,20.29,2.59,37.92,14.7,33.67,6.69,48.07,10.89,59.02,3.78,43.05,2.08,39.47,1.34,36.61,2.18,31.9,1.9,33.86,3.42,9.55,7.15,1.06,9.61,10.54,9.67,13.47,18.68,10.34,16.44,0.0,9.62,0.0,15.5,2.36,4.94,9.58,4.32,7.71,7.12,8.25,8.18,11.24,7.16,12.57,8.04,2.89,10.03,1.51,0.0,6.66,36.49,57.86,8.13,49.71,22.12,27.48,29.04,19.93,11.7,25.78,0.57,20.39,0.0,5.59,5.53,1.81,6.84,1.41,6.74,8.08,0.0,11.87,0.0,7.05,0.0,24.03,0.0,27.96,0.0,23.25,0.0,27.23,30.23,27.19,42.72,23.75,5.71,25.8,25.98,20.9,0.0,4.28,0.0,10.58,0.0,6.5,36.01,0.0,28.26,8.18,20.14,10.87,7.48,7.67,6.07,5.37,17.24,6.05,6.45,50.58,0.0,68.22,0.0,61.17,8.15,11.68,9.89,5.86,0.0,4.9,0.0,8.06,0.0,8.65,0.71,6.74,3.46,7.91,0.0,7.99,15.0,11.9,12.5,8.62,5.27,17.27,12.42,17.59,20.64,8.51,21.62,11.35,22.52,14.52,13.06,61.89,10.93,50.96,12.92,55.87,15.71,5.42,15.04,13.89,46.57,16.09,42.65,12.99,39.46,94.9,89.1
PTHR19957,152.94,196.76,193.63,246.15,115.98,237.83,117.01,269.21,81.86,220.05,312.85,188.55,196.32,183.27,418.66,258.27,20.18,275.96,12.23,218.77,1.81,146.79,107.32,172.66,125.75,174.95,112.45,233.13,138.56,199.45,116.68,261.65,196.48,253.1,80.05,119.1,94.76,132.32,87.11,197.67,21.73,169.69,7.24,207.4,40.6,124.27,85.94,15.96,111.36,251.63,109.07,302.05,119.4,145.82,103.71,1.07,125.91,2.15,103.16,25.73,44.33,198.1,35.12,186.54,48.0,186.41,94.5,212.11,74.96,296.72,87.8,93.85,99.34,37.05,0.0,133.69,136.62,439.69,90.5,292.73,338.04,465.63,478.12,261.74,91.99,342.96,3.3,263.07,1.02,36.34,168.27,18.42,160.07,18.39,174.71,207.24,0.0,194.71,0.0,183.59,3.79,472.04,21.72,501.24,24.04,451.07,16.35,353.68,157.97,422.17,289.33,252.21,48.24,222.78,209.81,152.69,0.52,192.39,0.58,169.23,0.3,179.26,294.38,111.33,223.65,193.15,166.4,221.39,65.96,173.74,64.45,206.04,103.28,175.47,33.67,568.95,1.79,351.55,0.0,411.29,196.33,217.93,214.42,167.13,9.2,159.17,5.75,169.97,4.23,194.41,45.34,187.44,125.26,188.05,51.87,174.62,60.79,169.9,53.89,199.71,46.7,206.4,197.58,206.56,241.21,257.96,241.71,238.36,260.06,287.71,230.15,330.48,203.58,183.37,230.2,324.04,242.03,273.33,233.24,247.25,193.17,302.62,105.57,278.93,209.98,367.09,301.17
PTHR23029,154.92,159.08,157.69,127.61,105.86,131.33,102.03,146.04,51.82,151.1,186.04,165.88,100.57,148.66,210.71,119.56,15.08,112.18,8.36,79.05,0.19,131.29,105.48,128.42,123.98,135.64,77.82,125.94,155.06,156.83,100.53,98.57,242.71,120.62,26.76,135.45,51.11,143.3,54.56,75.96,7.96,64.43,2.49,82.06,16.19,132.2,95.01,6.62,107.08,69.15,116.73,141.79,133.76,49.18,126.34,1.61,207.74,0.98,116.45,13.22,37.61,147.82,38.19,146.88,43.19,160.86,101.91,168.87,64.24,204.97,84.75,65.7,102.1,15.71,0.0,224.39,109.78,229.82,90.45,144.25,222.84,300.07,300.77,172.24,48.91,226.15,2.11,142.7,0.6,15.67,143.66,9.0,132.41,8.93,142.36,112.46,0.0,139.88,0.0,110.33,0.0,273.87,3.23,292.83,4.44,259.68,6.28,321.67,100.67,283.15,127.47,185.42,14.81,134.66,89.37,77.73,0.0,172.54,0.04,198.11,0.0,154.19,187.91,57.03,119.22,195.34,78.4,179.54,34.57,200.68,50.39,164.35,65.64,201.27,15.49,240.84,1.29,233.32,0.0,225.83,176.53,178.64,171.54,145.98,0.12,159.72,0.16,146.85,0.14,186.41,8.46,178.91,23.4,165.32,8.21,126.81,42.63,152.43,42.09,161.8,31.64,249.58,188.74,237.49,155.11,206.54,139.23,206.7,148.18,236.7,141.15,222.58,132.26,169.39,156.65,204.27,220.3,147.87,227.03,241.85,135.9,268.17,103.19,230.98,138.39,241.46,197.65
